category,source,dataset_scope,format,how_to_download,url,automation_notes,license_notes
Federal Regulations & Rulemaking,eCFR (Electronic Code of Federal Regulations),"Full CFR; key sections: 29 CFR 2560.503-1 (ERISA claims), 45 CFR 147.136 (ACA appeals), 26 CFR 54.9815-2719","JSON API, HTML; bulk XML via GPO",Use eCFR REST API for sections; use govinfo bulk ECFR XML for full titles,https://www.ecfr.gov/developers/documentation/api/v1 ; https://www.govinfo.gov/bulkdata/ECFR,Example GET: https://www.ecfr.gov/api/v1/render/title-45/part-147/section-147.136,US Gov works; verify currentness
Federal Regulations & Rulemaking,Federal Register API,"Rules, proposed rules, notices (NSA, TiC, HIPAA) since 1994",JSON/CSV via API,"Search FR API for terms like 'No Surprises Act', 'Transparency in Coverage'",https://www.federalregister.gov/developers/documentation/api/v1,"e.g., /api/v1/articles?conditions[term]=No%20Surprises%20Act&per_page=1000",Public domain
Federal Regulations & Rulemaking,Regulations.gov API,"Dockets, supporting docs, comments (HHS/DOL/Treasury)",JSON API,Use v4 API for documents & comments,https://open.gsa.gov/api/regulationsgov/,Endpoint: /v4/documents?filter[searchTerm]=No%20Surprises,Public domain; rate limits apply
Medicare Coverage & Policy,CMS Medicare Coverage Database (MCD),"NCDs, LCDs, related articles (current+retired)","CSV/ZIP, HTML",Use MCD Downloads page for NCD/LCD datasets + data dictionaries,https://www.cms.gov/medicare-coverage-database/downloads/downloads.aspx,Refresh quarterly; parse IDs/effective dates,Public domain
Medicare Coverage & Policy,CMS Internet-Only Manuals (IOM),"Pub 100-04 Claims Processing, 100-02 Benefit Policy, 100-08 Program Integrity",PDF per chapter,Download chapters from IOM index pages,https://www.cms.gov/medicare/regulations-guidance/manuals/internet-only-manuals-ioms,Track Transmittal IDs and revision history,Public domain
Medicare Coverage & Policy,CMS Transmittals & MLN Matters,Change Requests & provider education articles,PDF,Scrape transmittal index + MLN Matters PDFs,https://www.cms.gov/medicare/regulations-guidance/transmittals,"Capture CR#, effective date, impacted manual chapters",Public domain
Coding & Payment Standards,NCCI (National Correct Coding Initiative),"PTP edits, MUEs, Policy Manual",CSV/ZIP; PDF,Download quarterly CSVs and annual policy manual,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Separate Physician vs Facility sets,Public domain
Coding & Payment Standards,ICD-10-CM (CDC),Diagnosis codes + guidelines,"ZIP (tabular/list), XML, PDF",CDC ICD-10-CM files page,https://www.cdc.gov/nchs/icd/icd-10-cm/files.html,Annual October release,Public domain
Coding & Payment Standards,ICD-10-PCS (CMS),Inpatient procedure codes + guidelines,ZIP/PDF,CMS ICD-10-PCS page,https://www.cms.gov/medicare/coding-billing/icd-10-codes,Annual October release,Public domain
Coding & Payment Standards,HCPCS Level II (CMS),Supplies/drugs codes; quarterly updates,CSV/Excel/ZIP,CMS HCPCS quarterly updates,https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update,Parse descriptors; join to fee schedules later,Public domain
