Category,Source,DatasetScope,Format,HowToDownload,URL,AutomationNotes,LicenseNotes
Federal Regulations & Rulemaking,eCFR + GovInfo Bulk,29 CFR 2560.503-1 (ERISA claims); 45 CFR 147.136; 26 CFR 54.9815-2719; full titles via ECFR bulk XML,"JSON API, HTML, XML bulk",Use eCFR REST for sections; GovInfo ECFR bulk XML for titles,https://www.ecfr.gov/developers/documentation/api/v1 | https://www.govinfo.gov/bulkdata/ECFR,GET /api/v1/render/title-45/part-147/section-147.136; snapshot ECFR bulk monthly,US Gov works
Federal Regulations & Rulemaking,Federal Register API,"Rules/Notices (NSA, TiC, HIPAA) since 1994",JSON/CSV API,Query /api/v1/articles?conditions[term]=No%20Surprises%20Act&per_page=1000,https://www.federalregister.gov/developers/documentation/api/v1,Store FR doc numbers and links,Public domain
Federal Regulations & Rulemaking,Regulations.gov API,"Rulemaking dockets, comments (HHS/DOL/Treasury)",JSON API,Use v4 /documents?filter[searchTerm]=No%20Surprises,https://open.gsa.gov/api/regulationsgov/,Rate-limit; fetch attachments,Public domain
Medicare Coverage & Policy,CMS Medicare Coverage Database (MCD),NCDs/LCDs + related articles (current & retired),"CSV/ZIP, HTML",Download from MCD Downloads page; quarterly refresh,https://www.cms.gov/medicare-coverage-database/downloads/downloads.aspx,Parse effective/retired dates; policy IDs,Public domain
Medicare Coverage & Policy,CMS Internet-Only Manuals (IOM),"Claims Processing (Pub 100-04), Benefit Policy (Pub 100-02), Program Integrity (Pub 100-08)",PDF,Crawl chapter PDFs; store transmittal IDs,https://www.cms.gov/medicare/regulations-guidance/manuals/internet-only-manuals-ioms,PDF→text with layout aware parser; keep revision history,Public domain
Coding & Payment Standards,NCCI (PTP/MUE + Policy Manual),Quarterly edits & annual policy manual,"CSV/ZIP, PDF",Download latest PTP/MUE CSVs and manual,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,Physician vs Facility sets; version tagging,Public domain
Code Systems & Terminologies,ICD-10-CM (CDC),Diagnosis codes + guidelines,ZIP/XML/PDF,Download from CDC ICD-10-CM files,https://www.cdc.gov/nchs/icd/icd-10-cm/files.html,Annual October release,Public domain
Code Systems & Terminologies,ICD-10-PCS (CMS),Inpatient procedure codes + guidelines,ZIP/PDF,Download from CMS ICD-10 page,https://www.cms.gov/medicare/coding-billing/icd-10-codes,Annual October release,Public domain
Code Systems & Terminologies,HCPCS Level II (CMS),Quarterly HCPCS updates,CSV/Excel/ZIP,Download quarterly files,https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update,Map to fee schedules later,Public domain
Code Systems & Terminologies (Licensed),SNOMED CT US (via UMLS),US Edition SNOMED CT; mappings to ICD‑10‑CM,RF2,"Obtain UMLS license, then download US Edition",https://www.nlm.nih.gov/healthit/snomedct/us_edition.html | https://uts.nlm.nih.gov/uts/signup-login,Gate behind UMLS creds; respect license,License required (UMLS)
Code Systems & Terminologies,LOINC,"LOINC terms, Parts; Users' Guide",ZIP/CSV; FHIR API,Download current release; optional FHIR API,https://loinc.org/downloads/,Track release version; Part.csv for components,Free with terms
No Surprises Act (NSA) – Federal IDR,CMS NSA Reports & Public Use Files,Quarterly IDR outcomes + PUFs,"CSV/XLSX, PDF",Download from CMS NSA reports page,https://www.cms.gov/nosurprises/policies-and-resources/reports,Join on CPT/HCPCS where available,Public domain
Price Transparency,Hospital Price Transparency (45 CFR 180),Machine-readable standard charge files,CSV/JSON per hospital,Discover hospital MRF index/root TXT; download JSON/CSV,https://www.cms.gov/priorities/key-initiatives/hospital-price-transparency/hospitals,Validate schema; normalize to Parquet,Public info
Price Transparency,Transparency in Coverage (TiC) MRFs,In-network rates; OON allowed amounts (monthly),Sharded JSON,Locate payer MRF index; stream to Parquet,https://www.cms.gov/priorities/healthplan-price-transparency/overview/use-pricing-information-published-under-transparency-coverage-final-rule,Distributed fetch; downselect by codes/providers,Public info
Case Law,CourtListener / RECAP,ERISA benefit denial cases; opinions+dockets,Bulk CSV/JSON; REST API,Use bulk or REST; filter §502(a)(1)(B),https://www.courtlistener.com/help/api/bulk-data/,Join RECAP PDFs; store citations,Open data; terms apply
Payer Medical Policies,UnitedHealthcare Policies,"Clinical policies, coverage determinations, prior auth requirements",HTML/PDF,Crawl policy library; respect robots.txt,https://www.uhcprovider.com/en/policies-protocols.html,"Track policy IDs, effective dates, revision history",Public access; ToS apply
Payer Medical Policies,Aetna Clinical Policy Bulletins (CPB),"Medical necessity criteria, coverage policies",HTML/PDF,Crawl CPB library; respect robots.txt,https://www.aetna.com/health-care-professionals/clinical-policy-bulletins/medical-clinical-policy-bulletins.html,"Parse CPB numbers, categories, effective dates",Public access; ToS apply
Payer Medical Policies,Cigna Coverage/Payment Policies,"Coverage position statements, medical necessity",HTML/PDF,Crawl policy index; respect robots.txt,https://static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/index.html,"Track policy codes, specialties, updates",Public access; ToS apply
Payer Medical Policies,Elevance/Anthem Clinical UM Guidelines,"Utilization management, prior authorization criteria",HTML/PDF,Crawl guidelines library; respect robots.txt,https://www.anthem.com/provider/policies/clinical-guidelines/,"Parse UM categories, approval criteria",Public access; ToS apply
FOIA / Public Records,Federal FOIA API,"Agency components, FOIA contacts, processing data",JSON API,Query /api/agency_components/,https://www.foia.gov/developer/,Build agency request templates,Public domain
FOIA / Public Records,NFOIC State Public Records,"State public records laws, contact information",HTML/PDF,Crawl state law summaries,https://www.nfoic.org/state-freedom-of-information-laws/,"Extract request procedures, fees, timelines",Public information
